"title","date_time_begin","date_time_end","url","location_name","location_lat","location_lng","tags"
"Android Entwickler Treffen München ","2011-03-21T19:00:00","2011-03-21T22:00:00","https://www.xing.com/events/android-entwickler-treffen-munchen-732008","PC Welt (IDG)","48.1801314","11.5935524","android"
"30. Python Usertreffen - Django","2011-03-22T18:30:00","2011-03-22T22:00:00","http://wiki.python.de/User%20Group%20M%C3%BCnchen","LMU (Informatik)","48.1500233","11.5942831","python|django"
"CCC: mehrvortraegewagen","2011-03-22T20:00:00","","https://wiki.muc.ccc.de/mehrvortraegewagen","Chaos Computer Club München (CCC)","48.153661358","11.5607768297","ccc"
"Treffen der Münchner Perl Monger","2011-03-23T19:00:00","","http://munich.pm.org/activities.html","Zum Brünnstein","48.1293669","11.6053499","perl|perl monger"
"Atlassian User Group München","2011-03-24T15:00:00","2011-03-24T19:00:00","http://www.aug-muc.de/display/augmuc/Start-Treffen+am+24.3.2010","Siemens Conference Center","","","atlassian|confluence|jira|wiki"
"Continuous Improvement in PHP Projects","2011-03-24T18:00:00","","http://blog.mayflower.de/archives/662-Continuous-Improvement-in-PHP-Projects-VortragMayflower-Muenchen.html","Mayflower","48.135302451","11.5853190422","php"
"Dorkbot Munich","2011-03-24T18:30:00","2011-03-24T21:00:00","http://dorkbot.org/dorkbotmunich/doku.php","IDEO","48.13642","11.58021","arduino|kinect|mindstorms"
"Open-Source-Treffen","2011-03-25T18:00:00","2011-03-25T22:00:00","http://www.opensourcetreffen.de/3-termine.php","Café Netzwerk","48.14403","11.56236","open source"
"Drupal Lan-Party die 10.","2011-03-27T15:00:00","","http://groups.drupal.org/node/132829","Jugendtreff Akku","48.1120840155","11.5726161003","drupal"
".NET Coding Dojo Munich - Show me the moves ","2011-03-28T18:30:00","2011-03-28T22:00:00","https://www.xing.com/events/net-coding-dojo-munich-show-me-the-moves-738381","Jetbrains GmbH","48.13752","11.52296",".net|coding dojo"
"JBoss User Group: Integration vom Apache Camel mit JBoss HornetQ","2011-03-28T19:00:00","2011-03-28T22:00:00","http://jbug-munich.org/","Firma mgm technology partners","48.1881217","11.5856197",""
"Medienkomposition mit OSMF","2011-03-29T19:00:00","","http://www.fugmuc.de/medienkomposition-mit-osmf_770.html","reppa.net GmbH","48.1484854","11.5961989","adobe"
"Abendkurs Elektronisches Publizieren - Georgia, Verdana, Courier: Schriftenvielfalt beim ePublizieren","2011-03-30T18:30:00","2011-03-30T20:30:00","http://www.tgm-online.de/tgm/veranstaltungen_detail_sonder.php?art=sonder&id=455","Designschule München V-Raum (Nr. 006)","48.1331149803497","11.5695691108704","e-publishing"
"Document Freedom Day 2011","2011-03-30T18:30:00","","http://www.opensourcetreffen.de/1-start.php","Café Netzwerk","48.14403","11.56236","free document formats"
"Münchener Computerlinguistik-Stammtisch","2011-03-30T19:00:00","2011-03-30T23:00:00","https://www.xing.com/events/nachster-munchener-computerlinguistik-stammtisch-mi-30-03-19-00-736230","Café Luna","48.1503032","11.5844514","computerlinguistik"
"PowerShell Community Treffen","2011-03-31T18:00:00","","http://www.powershell-ag.de/ps/CommunityTreffen/tabid/117/Default.aspx","Microsoft München","48.29045","11.58162","powershell"
"CAcert Assurer Training Event","2011-04-02T13:00:00","2011-04-02T17:00:00","http://wiki.cacert.org/Events/2011-04-02-ATE-Munich","Café Netzwerk","48.14403","11.56236","open-source-treffen|cacert|ate"
"Tex-Stammtisch","2011-04-04T19:00:00","","http://www.siart.de/typografie/stammtisch.xhtml","Wirtshaus »Zum Brünnstein«","48.1293641902","11.6051305934","typographie|tex"
"Münchner Python Stammtisch","2011-04-05T18:30:00","","http://wiki.python.de/User%20Group%20M%C3%BCnchen","Institut für Informatik der LMU","48.149749","11.594388","python"
"Munich TYPO3 Usergroup","2011-04-05T19:00:00","2011-04-05T23:00:00","http://www.mtug.de/","Kulturzentrum Giesinger Bahnhof","48.1102657","11.5961886","typo3|php|cms"
"GTUG 2nd Anniversary","2011-04-05T19:00:00","","http://munich.gtugs.org/","Google Germany GmbH","48.138594","11.57731","google"
"5. Drupal Social Networking Stammtisch","2011-04-06T19:00:00","","http://groups.drupal.org/node/130359","Ludwigs","48.13548","11.57717","drupal"
"MunichJS - JavaScript User Group Munich","2011-04-06T19:00:00","","http://munichjs.org/meetups?DokuWiki=nt57qmgt642cnnjcmbtpm9eef5","Firma TNG Technology Consulting GmbH","48.1861991","11.6547822","javascript"
"Annual Stack Overflow Meetup Day! ","2011-04-06T19:00:00","","http://www.meetup.com/stackoverflow/Munchen/","Metzgerwirt Axel Schallameier","48.1588584","11.5117102","stackoverflow"
"FPM - PHP mit FastCGI","2011-04-07T18:00:00","","http://blog.mayflower.de/archives/671-FPM-PHP-mit-FastCGI-VortragMayflower-Muenchen.html","Mayflower","48.135302451","11.5853190422","php"
"Munich Linux Night","2011-04-08T19:00:00","","http://wiki.ubuntuusers.de/Anwendertreffen/M%C3%BCnchen","Froschkönig","48.1509485","11.5424327","linux|ubuntu"
"Social Media and Mobile meet Reality","2011-04-11T18:30:00","2011-04-11T22:30:00","http://www.mobile-monday.de/events/social-media-and-mobile-meet","Hofbräukeller am Wiener Platz","48.134027","11.5953283","mobile|social media"
"Java User Group: HTML5","2011-04-11T19:00:00","","http://www.jugm.de/index.htm","Firma mgm technology partners","48.1881217","11.5856197","html5"
"SNMPv3 leicht gemacht","2011-04-11T19:00:00","","http://www.guug.de/lokal/muenchen/index.html","","","","snmp"
"Opensource-Projektmanagement - Tools und Techniken im Migrationsprojekt","2011-04-11T19:30:00","","http://wwwspies.informatik.tu-muenchen.de/gi/","Hotel Eden-Wolff","48.14168","11.55931","projektmanagement"
"Plone/Zope User Group München","2011-04-12T18:30:00","2011-04-12T22:00:00","http://www.plone.de/termine/treffen-in-muenchen-kw-15-2011","LMU (Informatik)","48.1500233","11.5942831","cms|python|plone|zope"
"Agile Tuesday","2011-04-12T19:00:00","","http://agiletuesday.org/?q=node/19","Conti Bistro im Haus der Bayerischen Wirtschaft","48.1430956766712","11.5700626373291","agile|projektmanagement"
"µc³ Öffentliches Treffen","2011-04-12T19:30:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297","ccc"
"20plusX --Typografie Symposium der Hochschule München","2011-04-15T11:00:00","2011-04-16T19:00:00","http://20plusx.de/index.php/symposium-2/#","","","","typografie"
"PeRM – Effektives Anforderungsmanagement auf Basis von JIRA ","2011-04-18T18:00:00","2011-04-18T20:00:00","http://www.gi-muc-ak-req.de/joomla/geplante-veranstaltungen/details/61-perm--effektives-anforderungsmanagement-auf-basis-von-jira","Firma TNG Technology Consulting GmbH","48.1861991","11.6547822","jira|requirements management"
".NET Developers Group München","2011-04-19T18:00:00","2011-04-19T20:00:00","http://www.munichdot.net/post/2011/04/11/Meeting-im-April-1942011.aspx","Restaurant Spektakel","48.1232309","11.5412191",".net"
"OWASP Stammtisch","2011-04-19T19:00:00","","http://www.owasp.org/index.php/OWASP_German_Chapter_Stammtisch_Initiative","Cafe Waldfrieden","48.1092283","11.5024894","it security"
"mehrvorträgewagen","2011-04-19T20:00:00","","https://wiki.muc.ccc.de/mehrvortraegewagen","Chaos Computer Club München (CCC)","48.153661358","11.5607768297","ccc"
"6. Joomla User Group München Treffen","2011-04-20T18:00:00","2011-04-20T21:00:00","http://www.jug-muenchen.de/","Augustiner-Keller","48.1429741","11.5516535","php|cms"
"Drupal User Group München","2011-04-20T18:00:00","2011-04-20T21:00:00","http://groups.drupal.org/node/142649","Eine Welt Haus","48.1378097","11.5530738","cms|drupal|stammtisch|user group treffen"
"Scrumtisch","2011-04-20T19:00:00","","https://www.xing.com/events/scrumtisch-20-april-munchen-741048","TNG Technology Consulting GmbH","48.1859589","11.6545939","agile|scrum"
"World Plone Day","2011-04-27T09:30:00","2011-04-27T22:59:00","http://muenchen.worldploneday.de/","Seidlvilla","48.15867","11.58773","cms|python|plone"
"IPv6 für PHP Developer - Vortrag@Mayflower-München","2011-04-28T18:00:00","2011-04-28T19:00:00","http://www.xing.com/events/ipv6-php-developer-vortrag-mayflower-munchen-758411","Mayflower","48.135302451","11.5853190422","open source|ipv6"
"MUCOSUG - node.js","2011-04-28T19:00:00","2011-04-28T21:00:00","http://hub.opensolaris.org/bin/view/User+Group+mucosug/Meetings","LMU (Martiusstr.4 , Raum 104)","48.1568946","11.5854676","node.js|open solaris"
"Open-Source-Treffen","2011-04-29T18:00:00","2011-04-29T22:00:00","http://www.opensourcetreffen.de/3-termine.php","Café Netzwerk","48.14403","11.56236","open source"
"1st Hack-O-Tron on Android","2011-05-01T10:00:00","2011-05-01T18:00:00","http://munich.gtugs.org/hack-o-tron","Lovelybooks","48.1494583","11.5595662","hackathon|android|gtug"
"Drupal Mai Wanderung 2011","2011-05-01T10:30:00","2011-05-01T17:00:00","http://www.squatlabs.com/drupal-mai-wanderung-2011","","","","drupal"
"Open FabLaB","2011-05-02T20:00:00","2011-05-02T23:00:00","http://www.facebook.com/event.php?eid=206726919352519","FabLab München e.V.","48.148962189","11.5421193838","fablab|diy|make"
"Many Worlds in One","2011-05-03T17:15:00","","http://www.asc.physik.lmu.de/activities/lectures/eleventh_series/vilenkin_1/index.html","Fakultät für Physik der LMU München, Raum B052","48.1485387","11.5731825","physics"
"Python User Group München","2011-05-03T18:30:00","","http://wiki.python.de/User%20Group%20M%C3%BCnchen","","","","python"
"Augmented Reality Stammtisch München","2011-05-03T19:30:00","","http://www.augmented.org/blog/augmented-reality-stammtisch-munchen/","Restaurant Wassermann","48.1286891","11.5752656","augmented reality"
"JavaScript Meetup","2011-05-04T19:00:00","2011-05-04T23:00:00","http://www.munichjs.org/meetups/?event_id=5","TUM Research Campus Garching","48.2622985","11.6697764","node.js|javascript"
"GameDevMuc","2011-05-09T18:00:00","","http://gamedevmuc.de/","San Franzisco Coffee Company","48.1438442","11.5782503","games"
"Splunk für IT Operations","2011-05-09T19:00:00","","http://www.guug.de/lokal/muenchen/index.html","","","","logs|suchen"
"Wirtschaftsspionage 2.0 - Neue Wege für Spione ","2011-05-09T19:30:00","","http://wwwspies.informatik.tu-muenchen.de/gi/","Hotel Eden-Wolff","48.14168","11.55931","wirtschaftsspionage"
"OpenID Summit Munich","2011-05-10T09:00:00","2011-05-10T13:00:00","http://openid.net/2011/04/20/openid-summit-in-munich-at-the-european-identity-conference-%E2%80%9Copenid-in-a-global-context%E2%80%9D-may-10-2011/","Dolce Ballhaus-Forum Germany","48.2844618","11.5623575","identity management|openid"
"Google I/O Extended","2011-05-10T18:00:00","2011-05-10T23:59:00","http://munich.gtugs.org/home/googleioextended","","","","google|gtug munich"
"Google I/O Extended","2011-05-10T18:00:00","2011-05-11T22:00:00","http://munich.gtugs.org/home/googleioextended","Google Germany GmbH","48.138594","11.57731","google"
"Munich TYPO3 Usergroup","2011-05-10T19:00:00","2011-05-10T23:00:00","http://www.mtug.de/","Kulturzentrum Giesinger Bahnhof","48.1102657","11.5961886","typo3|php|cms"
"Agile Tuesday","2011-05-10T19:00:00","","http://agiletuesday.org/?q=node/19","Conti Bistro im Haus der Bayerischen Wirtschaft","48.1430956766712","11.5700626373291","agile|projektmanagement"
"µc³ Öffentliches Treffen","2011-05-10T19:30:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297","ccc"
"Google I/O Extended","2011-05-11T18:00:00","2011-05-11T23:59:00","http://munich.gtugs.org/home/googleioextended","","","","google|gtug munich"
"OpenStreetMap Treffen","2011-05-12T19:00:00","","http://wiki.openstreetmap.org/wiki/M%C3%BCnchen#Die_n.C3.A4chsten_Termine:","","","","openstreetmap"
"Trust Framework Model and IdM Summit","2011-05-13T09:00:00","2011-05-13T14:00:00","http://kantarainitiative.org/confluence/display/GI/Kantara+Initiative+Summit+2011+05+13","Dolce Ballhaus-Forum Germany","48.2844618","11.5623575","identity management"
"Ruby User Group Munich","2011-05-15T19:00:00","","http://munich.rubyshift.org/","Orceo GmbH","48.144978","11.483572","ruby|programming|scalability|clojure|development"
"Requirements Assessment Methode REM@Work","2011-05-16T18:00:00","2011-05-16T20:00:00","http://www.gi-muc-ak-req.de/joomla/geplante-veranstaltungen/details/60-requirements-assessment-methode-remwork","Firma TNG Technology Consulting GmbH","48.1861991","11.6547822","requirements management"
"JBoss Web Service","2011-05-16T19:00:00","","http://www.jbug-munich.de/index.php/termine","Firma mgm technology partners","48.1881217","11.5856197","jboss|web service"
"UX Book Club: Design Driven Innovation","2011-05-16T19:00:00","2011-05-16T21:00:00","https://www.xing.com/events/design-driven-innovation-verganti-16th-760318/description","IDEO","48.13642","11.58021","design|innovation"
"Techtalk: Hacking mit Metasploit","2011-05-17T19:00:00","2011-05-17T21:30:00","http://www.opensourceschool.de/techtalks/gratis/schulung/techtalk-metasploit/","Open Source School","48.1510227","11.5757012","it security|metasploit"
"Sicherheitslücken aufdecken mittels Code Review","2011-05-18T17:00:00","2011-05-18T18:30:00","http://www.cs.hm.edu/aktuelles/veranstaltungen/veranstaltungdetail_13184.de.html","","","","it security"
"Joomla User Group München Treffen","2011-05-18T18:00:00","2011-05-18T21:00:00","http://www.jug-muenchen.de/termine/viewevent.html?eventid=9","Augustiner-Keller","48.1429741","11.5516535","joomla"
"Drupal User Group München Treffen am 18. Mai 2011 im EWH","2011-05-18T19:00:00","2011-05-18T21:00:00","http://groups.drupal.org/node/149079","Eine Welt Haus","48.1378097","11.5530738","cms|drupal|stammtisch|user group treffen"
"Laserabend","2011-05-18T20:00:00","2011-05-18T23:00:00","http://wiki.fablab-muenchen.de/display/WIKI/Programm","FabLab München e.V.","48.148962189","11.5421193838","lasercutter|fablab"
"5. Münchner Cloud Stammtisch","2011-05-19T18:00:00","2011-05-19T20:00:00","https://www.xing.com/events/5-munchner-cloud-stammtisch-739983","Logica Deutschland","48.1218027","11.5815619","cloud|azure"
"Erfolgreich als IT-Gründer - Infoabend ","2011-05-19T19:00:00","","http://www.bvsi.de/veranstaltungskalender/details.php?rubrik_id=167&content_id=3737","LMU (Raum E 006)","48.15069","11.58036","bvsi|gründung|freiberufler"
"Wireless Sensor Networks Hackathon","2011-05-21T11:00:00","2011-05-21T19:00:00","http://blog.hackingatcdtm.eu/?page_id=17","CDTM","48.1459668","11.5696282","hardware|arduino|zigbee"
"Open Source Workshop: Eigene Homepage mit einem CMS-System einrichten (Typo3 und Drupal)","2011-05-21T13:00:00","2011-05-21T20:00:00","http://www.opensourcetreffen.de/3-termine.php","Café Netzwerk","48.14403","11.56236","typo3|open source|drupal"
"LASER World of PHOTONICS 2011","2011-05-23T08:30:00","2011-05-26T17:00:00","http://world-of-photonics.net/de/laser/rahmenprogramm-2011","","","","laser|optik"
"Sicherheit durch den 'Schutz kritischer Infrastrukturen'. Zur Aufgaben- und Verantwortungsteilung zwischen Staat und Privaten","2011-05-23T18:00:00","","http://www.mcg.uni-muenchen.de/aktuelles/news/mo_kol_wiater/montagskoll_ss2011.pdf","Münchner Centrum für Governance-Forschung (MCG)","48.1458071","11.5821207","governance"
"MobileMonday: Mobile Gaming","2011-05-23T18:30:00","2011-05-23T22:00:00","http://www.mobile-monday.de/events/mobile-gaming","Ernst & Young","48.1453843","11.540983","games|mobile"
"Hades - domänengetriebene Persistenz mit JPA und Spring ","2011-05-23T19:00:00","","http://haug-server.dyndns.org/display/JUGM/JUGM+Termine","Firma mgm technology partners","48.1881217","11.5856197","java"
"Erstes Limited WIP Society München Treffen","2011-05-23T19:15:00","2011-05-23T21:00:00","http://limitedwipsocietymuc.mixxt.de/networks/events/show_event.39618","CONRAD-HOTEL de Ville","48.1382359","11.5610208","usergroup|meeting|munich|agile|kanban|lean"
"PowerShell Community Treffen","2011-05-26T18:00:00","","http://www.powershell-ag.de/ps/CommunityTreffen/tabid/117/Default.aspx","Microsoft München","48.29045","11.58162","powershell"
"Mit nginx und FastCGI skalieren","2011-05-26T18:00:00","2011-05-26T19:00:00","http://blog.mayflower.de/archives/693-Mit-nginx-und-FastCGI-skalieren-VortragMayflower-Muenchen.html","Mayflower","48.135302451","11.5853190422","nginx|scalability|fastcgi"
"14. Lean-Netzwerktreffen München, Lean Product Development","2011-05-26T18:30:00","2011-05-26T21:00:00","https://www.xing.com/events/14-lean-netzwerktreffen-munchen-lean-product-development-750477","Villa Flora","48.131882","11.5296433","lean"
"Open-Source-Treffen","2011-05-27T18:00:00","2011-05-27T22:00:00","http://www.opensourcetreffen.de/3-termine.php","Café Netzwerk","48.14403","11.56236","open source"
".NET Coding Dojo","2011-05-30T18:30:00","2011-05-30T21:30:00","https://www.xing.com/events/net-coding-dojo-katas-over-munich-771640","","","",".net|coding dojo"
"CDTM Inspire & Dine","2011-05-31T19:00:00","2011-05-31T22:00:00","http://www.facebook.com/event.php?eid=195407230500220","CDTM","48.1459668","11.5696282","startups"
"7. Drupal Social Networking Stammtisch","2011-06-01T19:00:00","","http://groups.drupal.org/node/152419","Ludwigs","48.13548","11.57717","drupal"
"	Beanfabrics - Presentation Model Framework für Java Desktop Applikationen ","2011-06-06T19:00:00","","http://haug-server.dyndns.org/display/JUGM/JUGM+Termine","Firma mgm technology partners","48.1881217","11.5856197","java"
"beer.js","2011-06-06T19:00:00","","http://www.munichjs.org/meetups/?event_id=7","Niederlassung","48.1326463388","11.5771876145","javascript"
"Plone User Treffen","2011-06-07T18:30:00","2011-06-07T22:00:00","http://www.plone.de/termine/treffen-in-muenchen-kw-23-2011","LMU (Informatik)","48.1500233","11.5942831",""
"Munich TYPO3 Usergroup","2011-06-07T19:00:00","2011-06-07T23:00:00","http://www.mtug.de/","Kulturzentrum Giesinger Bahnhof","48.1102657","11.5961886","typo3|php|cms"
"Agile Tuesday","2011-06-07T19:00:00","","http://agiletuesday.org/?q=node/19","Hacker Pschorr Bräuhaus","48.1361223","11.5478647","agile|projektmanagement"
"Tex-Stammtisch","2011-06-07T19:00:00","","http://www.siart.de/typografie/stammtisch.xhtml","Zum Brünnstein","48.1293669","11.6053499","latex"
"Zwischen Versprechen und Realität: Von Marken- und Ortsbeziehungen","2011-06-07T19:30:00","2011-06-07T21:30:00","http://www.tgm-online.de/tgm/veranstaltungen_detail.php?art=vortrag&id=467","","","","marken"
"Assessments im Projektmanagement – Die Reifeprüfung für projektorientierte Organisationen","2011-06-08T18:30:00","2011-06-08T20:30:00","http://www.gpm-ipma.de/events/veranstaltungsdetails/event/assessments-im-projektmanagement-die-reifepruefung-fuer-projektorientierte-organisationen-1.html","Villa Flora","48.131882","11.5296433","projektmanagement"
"Laserabend","2011-06-08T20:00:00","2011-06-08T23:00:00","http://wiki.fablab-muenchen.de/display/WIKI/Programm","FabLab München e.V.","48.148962189","11.5421193838","lasercutter|fablab"
"Atlassian User Group München, 2. Treffen","2011-06-09T17:00:00","","http://www.aug-muc.de/display/augmuc/Treffen+am+9.6.2011","Swiss Life","48.1745178956","11.5902596712","wiki|atlassian|confluence|jira|java"
"Innovative Unternehmer: Ideenmanagement als Wachstumsmotor","2011-06-09T17:30:00","2011-06-09T19:00:00","http://www.unternehmertum.de/files/C0A80072012F71BD728EB7CE01BCD14B.pdf","TU München, Arcisstr","48.1484038","11.5674716","innovation|tum"
"PHP Under the Hood","2011-06-09T18:00:00","2011-06-09T19:00:00","http://blog.mayflower.de/archives/703-PHP-Under-the-Hood-VortragMayflower-Muenchen.html","Mayflower","48.135302451","11.5853190422","php"
"Munich Linux Night #59","2011-06-10T19:00:00","2011-06-10T22:00:00","http://wiki.ubuntuusers.de/Anwendertreffen/M%C3%BCnchen","Froschkönig","48.1509485","11.5424327","linux|ubuntu"
"GameDevMuc","2011-06-13T18:00:00","","http://gamedevmuc.de/","San Franzisco Coffee Company","48.1438442","11.5782503","games"
"OpenStreetMap Treffen","2011-06-14T19:00:00","","http://wiki.openstreetmap.org/wiki/M%C3%BCnchen","Laab","48.1226483296355","11.5886438310924","openstreetmap"
"yEd - die neue Art, Diagramme zu erstellen (MGLUG Stammtisch)","2011-06-14T19:00:00","","http://www.mglug.de/?page_id=120","Café Borstei (Nebenraum)","48.1706432","11.5342957","gentoo|gui|open source|darstellung|diagramme|dau|tool"
"µc³ Öffentliches Treffen","2011-06-14T19:30:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297","ccc"
"Drupal User Group München Treffen am 15. Juni 2011 im EWH","2011-06-15T19:00:00","2011-06-15T21:00:00","http://groups.drupal.org/node/155554","Eine Welt Haus","48.1378097","11.5530738","cms|drupal|stammtisch|user group treffen"
